run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR5988448	SAMN07571744	SRX3144223	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988448/SRR5988448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988448/SRR5988448_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5988448	GSM2758813	14_NB_B108T22	
SRR5988463	SAMN07571790	SRX3144238	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988463/SRR5988463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988463/SRR5988463_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988463	GSM2758828	12.5_NP(a)_B108T52	
SRR5988464	SAMN07571789	SRX3144239	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988464/SRR5988464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988464/SRR5988464_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988464	GSM2758829	12.5_NB(a)_B108T71	
SRR5988465	SAMN07571788	SRX3144240	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988465/SRR5988465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988465/SRR5988465_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988465	GSM2758830	12.5_ANB/PPE_B108T5	
SRR5988466	SAMN07571787	SRX3144241	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988466/SRR5988466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5988466/SRR5988466_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5988466	GSM2758831	12.5_NB(a)_B108T72	
SRR5988467	SAMN07571785	SRX3144242	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988467/SRR5988467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5988467/SRR5988467_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5988467	GSM2758832	12.5_NP(p)_B100T16	
SRR5988469	SAMN07571784	SRX3144244	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988469/SRR5988469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988469/SRR5988469_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988469	GSM2758834	12.5_NB(l)_B108T53	
SRR5988473	SAMN07571779	SRX3144248	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988473/SRR5988473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988473/SRR5988473_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988473	GSM2758838	12.5_ANB/PPE_B108T54	
SRR5988474	SAMN07571778	SRX3144249	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988474/SRR5988474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988474/SRR5988474_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988474	GSM2758839	14_NP(a)_B108T75	
SRR5988475	SAMN07571777	SRX3144250	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988475/SRR5988475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988475/SRR5988475_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988475	GSM2758840	14_NP(p)_B108T55	
